age,interest,pid,sex,race
56,1,Democrat,Male,Non-Whte
23,1,Independent,Male,White
55,3,Repubican,Male,White
130,1,Independent,Male,Non-Whte
43,1,Repubican,Female,White
32,2,Repubican,Female,White
62,1,Democrat,Female,White
71,1,Democrat,Female,White
46,1,Democrat,Male,White
63,2,Democrat,Male,White
28,2,Democrat,Female,White
23,4,Democrat,Male,Non-Whte
28,4,Democrat,Male,White
52,2,Democrat,Male,Non-Whte
79,1,Democrat,Male,White
38,2,Democrat,Male,White
82,1,Democrat,Female,White
83,1,Democrat,Female,White
65,2,Democrat,Male,Non-Whte
50,2,Democrat,Male,Non-Whte
63,1,Democrat,Female,Non-Whte
31,3,Independent,Male,White
52,2,Repubican,Male,White
22,1,Independent,Male,White
27,4,Democrat,Female,White
52,2,Repubican,Female,White
44,1,Democrat,Female,White
33,1,Independent,Male,White
65,1,Repubican,Female,White
56,3,Independent,Male,White
47,1,Repubican,Male,White
20,4,Repubican,Female,White
45,1,Repubican,Male,White
75,2,Democrat,Female,White
89,1,Repubican,Female,White
55,2,Democrat,Male,White
55,1,Repubican,Female,White
66,1,Independent,Male,White
130,1,Independent,Male,Non-Whte
50,2,Democrat,Female,White
42,1,Independent,Male,White
23,1,Independent,Male,White
47,4,Democrat,Female,Non-Whte
78,1,Democrat,Male,White
18,1,Independent,Female,Non-Whte
50,2,Democrat,Female,White
67,2,Independent,Male,White
19,3,Independent,Male,Non-Whte
36,1,Repubican,Male,White
32,1,Repubican,Male,White
58,2,Democrat,Female,White
47,3,Democrat,Male,Non-Whte
68,1,Independent,Female,Non-Whte
53,1,Independent,Female,White
50,3,Repubican,Female,White
83,1,Independent,Female,White
31,2,Independent,Female,Non-Whte
40,2,Democrat,Female,White
49,1,Democrat,Female,White
59,1,Independent,Female,White
81,1,Democrat,Female,White
32,1,Independent,Male,White
59,1,Democrat,Female,White
47,3,Independent,Female,White
56,1,Independent,Male,White
54,1,Repubican,Male,White
35,1,Repubican,Female,White
33,3,Democrat,Female,Non-Whte
75,1,Democrat,Female,White
50,1,Democrat,Female,White
18,1,Repubican,Male,White
46,2,Independent,Female,White
70,1,Democrat,Male,Non-Whte
45,3,Independent,Male,White
53,4,Independent,Female,White
41,2,Democrat,Male,Non-Whte
83,1,Democrat,Female,White
50,1,Repubican,Male,White
61,1,Democrat,Female,Non-Whte
41,4,Independent,Male,White
30,2,Repubican,Female,White
31,4,Independent,Male,White
77,1,Democrat,Male,White
65,2,Independent,Female,White
65,1,Repubican,Female,White
50,1,Repubican,Male,White
44,3,Repubican,Male,White
40,1,Repubican,Female,White
52,1,Repubican,Male,White
20,2,Democrat,Female,Non-Whte
39,2,Democrat,Female,White
62,1,Repubican,Female,White
72,1,Repubican,Female,White
29,3,Democrat,Female,Non-Whte
35,1,Independent,Male,Non-Whte
80,3,Democrat,Female,Non-Whte
32,2,Repubican,Male,White
67,1,Independent,Male,White
58,1,Independent,Male,White
28,1,Repubican,Male,White
32,1,Repubican,Male,White
50,1,Independent,Female,White
58,1,Repubican,Male,White
44,1,Independent,Male,White
65,1,Independent,Female,White
54,1,Repubican,Male,White
25,1,Repubican,Male,White
30,2,Democrat,Male,White
40,1,Independent,Female,White
20,4,Independent,Female,White
53,1,Independent,Female,White
36,1,Democrat,Female,Non-Whte
51,2,Independent,Male,Non-Whte
34,1,Democrat,Female,White
45,2,Democrat,Female,Non-Whte
47,1,Independent,Female,Non-Whte
51,1,Democrat,Male,Non-Whte
18,2,Democrat,Male,Non-Whte
32,3,Repubican,Male,White
23,2,Democrat,Male,Non-Whte
65,1,Democrat,Female,White
75,1,Democrat,Male,White
63,4,Independent,Female,White
30,2,Repubican,Female,White
23,2,Independent,Female,White
23,3,Independent,Male,Non-Whte
50,1,Repubican,Male,White
64,2,Democrat,Female,White
60,2,Democrat,Male,White
62,2,Independent,Female,White
67,1,Independent,Female,White
49,1,Democrat,Male,Non-Whte
29,1,Repubican,Male,White
43,4,Independent,Male,Non-Whte
31,1,Repubican,Male,White
40,2,Democrat,Male,White
38,1,Democrat,Female,Non-Whte
45,1,Independent,Male,Non-Whte
32,1,Repubican,Male,White
92,2,Democrat,Female,White
60,1,Repubican,Male,White
71,1,Democrat,Female,Non-Whte
30,4,Democrat,Female,Non-Whte
130,1,Independent,Female,Non-Whte
87,1,Democrat,Male,White
22,2,Democrat,Female,Non-Whte
84,1,Repubican,Male,White
51,1,Democrat,Male,White
53,1,Independent,Female,White
57,1,Democrat,Female,White
29,1,Repubican,Male,White
130,2,Repubican,Male,White
39,3,Repubican,Male,White
60,2,Repubican,Male,White
53,1,Repubican,Male,White
33,1,Independent,Male,Non-Whte
78,3,Repubican,Male,White
61,1,Democrat,Female,Non-Whte
32,4,Independent,Female,White
39,1,Repubican,Female,White
43,1,Independent,Female,White
64,1,Repubican,Female,White
73,1,Repubican,Male,White
48,2,Independent,Male,Non-Whte
60,1,Democrat,Female,Non-Whte
58,1,Democrat,Female,White
60,1,Democrat,Female,Non-Whte
24,1,Independent,Female,White
45,1,Repubican,Male,White
38,1,Repubican,Female,White
50,1,Independent,Female,White
45,2,Independent,Female,White
61,2,Democrat,Female,White
68,1,Repubican,Male,White
77,1,Independent,Female,White
56,NA,Independent,Male,Non-Whte
37,2,Democrat,Female,Non-Whte
70,1,Repubican,Female,White
53,1,Democrat,Female,Non-Whte
74,1,Democrat,Female,White
58,1,Repubican,Female,White
84,1,Repubican,Female,White
50,1,Democrat,Male,White
22,4,Democrat,Female,Non-Whte
32,1,Democrat,Female,Non-Whte
71,1,Repubican,Male,White
34,2,Independent,Male,Non-Whte
82,1,Democrat,Female,White
29,1,Independent,Male,White
65,2,Democrat,Female,White
38,2,Repubican,Male,White
52,1,Democrat,Female,White
41,1,Democrat,Female,White
59,1,Democrat,Female,White
47,2,Repubican,Female,White
41,2,Democrat,Female,White
73,1,Repubican,Female,White
